system:index,FCODE,KDBBPS,KDCBPS,KDCPUM,KDEBPS,KDEPUM,KDPBPS,KDPKAB,KDPPUM,LUASWH,METADATA,NAMOBJ,REMARK,SHAPE_Area,SHAPE_Leng,SRS_ID,TIPADM,WADMKC,WADMKD,WADMKK,WADMPR,WIADKC,WIADKD,WIADKK,WIADPR,date,mean,month,ntl_mean,source,unit,year,.geo
1_00000000000000000001,BA03050040,,,,,,,17.09,17,1132.37980154,TASWIL5000020230907KABKOTA,Bengkulu Tengah,,0.0921811750625,1.69106213946,4326,4,,,Bengkulu Tengah,Bengkulu,,0,Bengkulu Utara,,2014-02,0.2128659181260032,2,0.2128659181260032,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000007,BA03050040,,,,,,,17.06,17,4138.67744948,TASWIL5000020230907KABKOTA,Muko Muko,,0.336592747024,2.86802508124,4326,4,,,Muko Muko,Bengkulu,,0,Bengkulu Utara,,2014-02,0.12499363815794866,2,0.12499363815794866,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000004,BA03050040,,,,,,,17.08,17,738.965373021,TASWIL5000020230907KABKOTA,Kepahiang,,0.0601516399313,1.25949783888,4326,4,,,Kepahiang,Bengkulu,,0,Rejang Lebong,,2014-02,0.18491291560587533,2,0.18491291560587533,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000006,BA03050040,,,,,,,17.07,17,1666.62141232,TASWIL5000020230907KABKOTA,Lebong,,0.135590206867,2.28499366628,4326,4,,,Lebong,Bengkulu,,0,Rejang Lebong,,2014-02,0.06515562596544835,2,0.06515562596544835,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000000,BA03050040,,,,,,,17.01,17,1219.21803946,TASWIL5000020230907KABKOTA,Bengkulu Selatan,,0.0993287731169,1.81713201959,4326,4,,,Bengkulu Selatan,Bengkulu,,0,,,2014-03,0.1589380150106503,3,0.1589380150106503,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000002,BA03050040,,,,,,,17.03,17,4481.99177193,TASWIL5000020230907KABKOTA,Bengkulu Utara,,0.364775353826,4.49043562233,4326,4,,,Bengkulu Utara,Bengkulu,,0,,,2014-03,0.06835585620382122,3,0.06835585620382122,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000005,BA03050040,,,,,,,17.71,17,150.348272271,TASWIL5000020230907KABKOTA,Kota Bengkulu,,0.0122412015477,0.924102307605,4326,5,,,Kota Bengkulu,Bengkulu,,0,,,2014-03,1.6271526238799472,3,1.6271526238799472,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000008,BA03050040,,,,,,,17.02,17,1559.41883395,TASWIL5000020230907KABKOTA,Rejang Lebong,,0.126909994211,2.15247508028,4326,4,,,Rejang Lebong,Bengkulu,,0,,,2014-03,0.19645321534429752,3,0.19645321534429752,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000003,BA03050040,,,,,,,17.04,17,2608.55629381,TASWIL5000020230907KABKOTA,Kaur,,0.212591958209,2.9309789308,4326,4,,,Kaur,Bengkulu,,0,Bengkulu Selatan,,2014-03,0.09208997213674656,3,0.09208997213674656,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000009,BA03050040,,,,,,,17.05,17,2432.16358983,TASWIL5000020230907KABKOTA,Seluma,,0.198073483515,2.52360350375,4326,4,,,Seluma,Bengkulu,,0,Bengkulu Selatan,,2014-03,0.10967323313583588,3,0.10967323313583588,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
