system:index,FCODE,KDBBPS,KDCBPS,KDCPUM,KDEBPS,KDEPUM,KDPBPS,KDPKAB,KDPPUM,LUASWH,METADATA,NAMOBJ,REMARK,SHAPE_Area,SHAPE_Leng,SRS_ID,TIPADM,WADMKC,WADMKD,WADMKK,WADMPR,WIADKC,WIADKD,WIADKK,WIADPR,date,mean,month,ntl_mean,source,unit,year,.geo
0_00000000000000000003,BA03050040,,,,,,,94.04,94,18298.9475457,TASWIL5000020230907KABKOTA,Mimika,,1.4911492384,12.6656809115,4326,4,,,Mimika,Papua Tengah,,0,,Papua,2014-01,0.03249862065704382,1,0.03249862065704382,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000004,BA03050040,,,,,,,94.01,94,11806.0881539,TASWIL5000020230907KABKOTA,Nabire,,0.960785354303,11.5437430004,4326,4,,,Nabire,Papua Tengah,,0,,Papua,2014-01,9.127389656543429E-4,1,9.127389656543429E-4,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000005,BA03050040,,,,,,,94.03,94,5306.87117012,TASWIL5000020230907KABKOTA,Paniai,,0.43205886587,4.22472545524,4326,4,,,Paniai,Papua Tengah,,0,,Papua,2014-01,-0.016608327588945385,1,-0.016608327588945385,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000007,BA03050040,,,,,,,94.02,94,5986.18984235,TASWIL5000020230907KABKOTA,Puncak Jaya,,0.487181441607,4.59742025922,4326,4,,,Puncak Jaya,Papua Tengah,,0,,Papua,2014-01,-0.031915791962555486,1,-0.031915791962555486,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000001,BA03050040,,,,,,,94.06,94,3792.92814779,TASWIL5000020230907KABKOTA,Dogiyai,,0.308897883462,4.13558797224,4326,4,,,Dogiyai,Papua Tengah,,0,Nabire,Papua,2014-01,-0.03391871057179432,1,-0.03391871057179432,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000000,BA03050040,,,,,,,94.08,94,2846.41168169,TASWIL5000020230907KABKOTA,Deiyai,,0.231850795745,3.39213920299,4326,4,,,Deiyai,Papua Tengah,,0,Paniai,Papua,2014-01,-0.041320168962726236,1,-0.041320168962726236,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000002,BA03050040,,,,,,,94.07,94,5334.44487314,TASWIL5000020230907KABKOTA,Intan Jaya,,0.434180629298,4.44111790841,4326,4,,,Intan Jaya,Papua Tengah,,0,Paniai,Papua,2014-01,-0.016107398659010466,1,-0.016107398659010466,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000006,BA03050040,,,,,,,94.05,94,7701.0311539,TASWIL5000020230907KABKOTA,Puncak,,0.626897577633,6.569179487,4326,4,,,Puncak,Papua Tengah,,0,Puncak Jaya,Papua,2014-01,-0.034043778286247606,1,-0.034043778286247606,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000003,BA03050040,,,,,,,94.04,94,18298.9475457,TASWIL5000020230907KABKOTA,Mimika,,1.4911492384,12.6656809115,4326,4,,,Mimika,Papua Tengah,,0,,Papua,2014-02,0.04405225291141807,2,0.04405225291141807,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000004,BA03050040,,,,,,,94.01,94,11806.0881539,TASWIL5000020230907KABKOTA,Nabire,,0.960785354303,11.5437430004,4326,4,,,Nabire,Papua Tengah,,0,,Papua,2014-02,0.024382700383091004,2,0.024382700383091004,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000005,BA03050040,,,,,,,94.03,94,5306.87117012,TASWIL5000020230907KABKOTA,Paniai,,0.43205886587,4.22472545524,4326,4,,,Paniai,Papua Tengah,,0,,Papua,2014-02,0.0395250227106372,2,0.0395250227106372,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000007,BA03050040,,,,,,,94.02,94,5986.18984235,TASWIL5000020230907KABKOTA,Puncak Jaya,,0.487181441607,4.59742025922,4326,4,,,Puncak Jaya,Papua Tengah,,0,,Papua,2014-02,0.017383789432935816,2,0.017383789432935816,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000001,BA03050040,,,,,,,94.06,94,3792.92814779,TASWIL5000020230907KABKOTA,Dogiyai,,0.308897883462,4.13558797224,4326,4,,,Dogiyai,Papua Tengah,,0,Nabire,Papua,2014-02,0.051128489012939746,2,0.051128489012939746,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000000,BA03050040,,,,,,,94.08,94,2846.41168169,TASWIL5000020230907KABKOTA,Deiyai,,0.231850795745,3.39213920299,4326,4,,,Deiyai,Papua Tengah,,0,Paniai,Papua,2014-02,0.03872474254540645,2,0.03872474254540645,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000002,BA03050040,,,,,,,94.07,94,5334.44487314,TASWIL5000020230907KABKOTA,Intan Jaya,,0.434180629298,4.44111790841,4326,4,,,Intan Jaya,Papua Tengah,,0,Paniai,Papua,2014-02,0.019460734231394432,2,0.019460734231394432,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000006,BA03050040,,,,,,,94.05,94,7701.0311539,TASWIL5000020230907KABKOTA,Puncak,,0.626897577633,6.569179487,4326,4,,,Puncak,Papua Tengah,,0,Puncak Jaya,Papua,2014-02,0.021729896921205912,2,0.021729896921205912,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000003,BA03050040,,,,,,,94.04,94,18298.9475457,TASWIL5000020230907KABKOTA,Mimika,,1.4911492384,12.6656809115,4326,4,,,Mimika,Papua Tengah,,0,,Papua,2014-03,0.07697429451206175,3,0.07697429451206175,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000004,BA03050040,,,,,,,94.01,94,11806.0881539,TASWIL5000020230907KABKOTA,Nabire,,0.960785354303,11.5437430004,4326,4,,,Nabire,Papua Tengah,,0,,Papua,2014-03,0.04894428218299436,3,0.04894428218299436,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000005,BA03050040,,,,,,,94.03,94,5306.87117012,TASWIL5000020230907KABKOTA,Paniai,,0.43205886587,4.22472545524,4326,4,,,Paniai,Papua Tengah,,0,,Papua,2014-03,0.07704183241771861,3,0.07704183241771861,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000007,BA03050040,,,,,,,94.02,94,5986.18984235,TASWIL5000020230907KABKOTA,Puncak Jaya,,0.487181441607,4.59742025922,4326,4,,,Puncak Jaya,Papua Tengah,,0,,Papua,2014-03,0.0699943151325723,3,0.0699943151325723,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000001,BA03050040,,,,,,,94.06,94,3792.92814779,TASWIL5000020230907KABKOTA,Dogiyai,,0.308897883462,4.13558797224,4326,4,,,Dogiyai,Papua Tengah,,0,Nabire,Papua,2014-03,0.060378600657908205,3,0.060378600657908205,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000000,BA03050040,,,,,,,94.08,94,2846.41168169,TASWIL5000020230907KABKOTA,Deiyai,,0.231850795745,3.39213920299,4326,4,,,Deiyai,Papua Tengah,,0,Paniai,Papua,2014-03,0.054527623147322214,3,0.054527623147322214,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000002,BA03050040,,,,,,,94.07,94,5334.44487314,TASWIL5000020230907KABKOTA,Intan Jaya,,0.434180629298,4.44111790841,4326,4,,,Intan Jaya,Papua Tengah,,0,Paniai,Papua,2014-03,0.06137289306882416,3,0.06137289306882416,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000006,BA03050040,,,,,,,94.05,94,7701.0311539,TASWIL5000020230907KABKOTA,Puncak,,0.626897577633,6.569179487,4326,4,,,Puncak,Papua Tengah,,0,Puncak Jaya,Papua,2014-03,0.016961987753977448,3,0.016961987753977448,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000003,BA03050040,,,,,,,94.04,94,18298.9475457,TASWIL5000020230907KABKOTA,Mimika,,1.4911492384,12.6656809115,4326,4,,,Mimika,Papua Tengah,,0,,Papua,2014-04,0.14500082024052185,4,0.14500082024052185,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000004,BA03050040,,,,,,,94.01,94,11806.0881539,TASWIL5000020230907KABKOTA,Nabire,,0.960785354303,11.5437430004,4326,4,,,Nabire,Papua Tengah,,0,,Papua,2014-04,0.2341354484399096,4,0.2341354484399096,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000005,BA03050040,,,,,,,94.03,94,5306.87117012,TASWIL5000020230907KABKOTA,Paniai,,0.43205886587,4.22472545524,4326,4,,,Paniai,Papua Tengah,,0,,Papua,2014-04,0.2412216751577937,4,0.2412216751577937,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000007,BA03050040,,,,,,,94.02,94,5986.18984235,TASWIL5000020230907KABKOTA,Puncak Jaya,,0.487181441607,4.59742025922,4326,4,,,Puncak Jaya,Papua Tengah,,0,,Papua,2014-04,0.4624385996800892,4,0.4624385996800892,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000001,BA03050040,,,,,,,94.06,94,3792.92814779,TASWIL5000020230907KABKOTA,Dogiyai,,0.308897883462,4.13558797224,4326,4,,,Dogiyai,Papua Tengah,,0,Nabire,Papua,2014-04,0.12081996469169923,4,0.12081996469169923,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000000,BA03050040,,,,,,,94.08,94,2846.41168169,TASWIL5000020230907KABKOTA,Deiyai,,0.231850795745,3.39213920299,4326,4,,,Deiyai,Papua Tengah,,0,Paniai,Papua,2014-04,0.1237295816641988,4,0.1237295816641988,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000002,BA03050040,,,,,,,94.07,94,5334.44487314,TASWIL5000020230907KABKOTA,Intan Jaya,,0.434180629298,4.44111790841,4326,4,,,Intan Jaya,Papua Tengah,,0,Paniai,Papua,2014-04,0.33802957634177283,4,0.33802957634177283,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000006,BA03050040,,,,,,,94.05,94,7701.0311539,TASWIL5000020230907KABKOTA,Puncak,,0.626897577633,6.569179487,4326,4,,,Puncak,Papua Tengah,,0,Puncak Jaya,Papua,2014-04,0.312952234652508,4,0.312952234652508,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000003,BA03050040,,,,,,,94.04,94,18298.9475457,TASWIL5000020230907KABKOTA,Mimika,,1.4911492384,12.6656809115,4326,4,,,Mimika,Papua Tengah,,0,,Papua,2014-05,-0.08175777191655376,5,-0.08175777191655376,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000004,BA03050040,,,,,,,94.01,94,11806.0881539,TASWIL5000020230907KABKOTA,Nabire,,0.960785354303,11.5437430004,4326,4,,,Nabire,Papua Tengah,,0,,Papua,2014-05,0.04061748767512891,5,0.04061748767512891,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000005,BA03050040,,,,,,,94.03,94,5306.87117012,TASWIL5000020230907KABKOTA,Paniai,,0.43205886587,4.22472545524,4326,4,,,Paniai,Papua Tengah,,0,,Papua,2014-05,-0.010882090108980303,5,-0.010882090108980303,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000007,BA03050040,,,,,,,94.02,94,5986.18984235,TASWIL5000020230907KABKOTA,Puncak Jaya,,0.487181441607,4.59742025922,4326,4,,,Puncak Jaya,Papua Tengah,,0,,Papua,2014-05,-0.05250267259496286,5,-0.05250267259496286,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000001,BA03050040,,,,,,,94.06,94,3792.92814779,TASWIL5000020230907KABKOTA,Dogiyai,,0.308897883462,4.13558797224,4326,4,,,Dogiyai,Papua Tengah,,0,Nabire,Papua,2014-05,-0.07586681261111684,5,-0.07586681261111684,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000000,BA03050040,,,,,,,94.08,94,2846.41168169,TASWIL5000020230907KABKOTA,Deiyai,,0.231850795745,3.39213920299,4326,4,,,Deiyai,Papua Tengah,,0,Paniai,Papua,2014-05,-0.03729078861231303,5,-0.03729078861231303,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000002,BA03050040,,,,,,,94.07,94,5334.44487314,TASWIL5000020230907KABKOTA,Intan Jaya,,0.434180629298,4.44111790841,4326,4,,,Intan Jaya,Papua Tengah,,0,Paniai,Papua,2014-05,-0.008168991815873477,5,-0.008168991815873477,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000006,BA03050040,,,,,,,94.05,94,7701.0311539,TASWIL5000020230907KABKOTA,Puncak,,0.626897577633,6.569179487,4326,4,,,Puncak,Papua Tengah,,0,Puncak Jaya,Papua,2014-05,-0.03222838999486908,5,-0.03222838999486908,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000003,BA03050040,,,,,,,94.04,94,18298.9475457,TASWIL5000020230907KABKOTA,Mimika,,1.4911492384,12.6656809115,4326,4,,,Mimika,Papua Tengah,,0,,Papua,2014-06,-0.01563978589136475,6,-0.01563978589136475,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000004,BA03050040,,,,,,,94.01,94,11806.0881539,TASWIL5000020230907KABKOTA,Nabire,,0.960785354303,11.5437430004,4326,4,,,Nabire,Papua Tengah,,0,,Papua,2014-06,-0.04297845610023621,6,-0.04297845610023621,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000005,BA03050040,,,,,,,94.03,94,5306.87117012,TASWIL5000020230907KABKOTA,Paniai,,0.43205886587,4.22472545524,4326,4,,,Paniai,Papua Tengah,,0,,Papua,2014-06,-0.020825331865991885,6,-0.020825331865991885,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000007,BA03050040,,,,,,,94.02,94,5986.18984235,TASWIL5000020230907KABKOTA,Puncak Jaya,,0.487181441607,4.59742025922,4326,4,,,Puncak Jaya,Papua Tengah,,0,,Papua,2014-06,-0.042447096196775745,6,-0.042447096196775745,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000001,BA03050040,,,,,,,94.06,94,3792.92814779,TASWIL5000020230907KABKOTA,Dogiyai,,0.308897883462,4.13558797224,4326,4,,,Dogiyai,Papua Tengah,,0,Nabire,Papua,2014-06,0.026885166944973362,6,0.026885166944973362,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000000,BA03050040,,,,,,,94.08,94,2846.41168169,TASWIL5000020230907KABKOTA,Deiyai,,0.231850795745,3.39213920299,4326,4,,,Deiyai,Papua Tengah,,0,Paniai,Papua,2014-06,0.003272756126690397,6,0.003272756126690397,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000002,BA03050040,,,,,,,94.07,94,5334.44487314,TASWIL5000020230907KABKOTA,Intan Jaya,,0.434180629298,4.44111790841,4326,4,,,Intan Jaya,Papua Tengah,,0,Paniai,Papua,2014-06,-0.04393616272270731,6,-0.04393616272270731,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000006,BA03050040,,,,,,,94.05,94,7701.0311539,TASWIL5000020230907KABKOTA,Puncak,,0.626897577633,6.569179487,4326,4,,,Puncak,Papua Tengah,,0,Puncak Jaya,Papua,2014-06,-0.06844822316127039,6,-0.06844822316127039,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000003,BA03050040,,,,,,,94.04,94,18298.9475457,TASWIL5000020230907KABKOTA,Mimika,,1.4911492384,12.6656809115,4326,4,,,Mimika,Papua Tengah,,0,,Papua,2014-07,0.017617056790364318,7,0.017617056790364318,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000004,BA03050040,,,,,,,94.01,94,11806.0881539,TASWIL5000020230907KABKOTA,Nabire,,0.960785354303,11.5437430004,4326,4,,,Nabire,Papua Tengah,,0,,Papua,2014-07,-0.0552872193792759,7,-0.0552872193792759,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000005,BA03050040,,,,,,,94.03,94,5306.87117012,TASWIL5000020230907KABKOTA,Paniai,,0.43205886587,4.22472545524,4326,4,,,Paniai,Papua Tengah,,0,,Papua,2014-07,-0.015566662758162283,7,-0.015566662758162283,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000007,BA03050040,,,,,,,94.02,94,5986.18984235,TASWIL5000020230907KABKOTA,Puncak Jaya,,0.487181441607,4.59742025922,4326,4,,,Puncak Jaya,Papua Tengah,,0,,Papua,2014-07,-0.047671134682173995,7,-0.047671134682173995,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000001,BA03050040,,,,,,,94.06,94,3792.92814779,TASWIL5000020230907KABKOTA,Dogiyai,,0.308897883462,4.13558797224,4326,4,,,Dogiyai,Papua Tengah,,0,Nabire,Papua,2014-07,-0.0553925791184454,7,-0.0553925791184454,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000000,BA03050040,,,,,,,94.08,94,2846.41168169,TASWIL5000020230907KABKOTA,Deiyai,,0.231850795745,3.39213920299,4326,4,,,Deiyai,Papua Tengah,,0,Paniai,Papua,2014-07,-0.012083477643648309,7,-0.012083477643648309,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000002,BA03050040,,,,,,,94.07,94,5334.44487314,TASWIL5000020230907KABKOTA,Intan Jaya,,0.434180629298,4.44111790841,4326,4,,,Intan Jaya,Papua Tengah,,0,Paniai,Papua,2014-07,-0.027730519113981642,7,-0.027730519113981642,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000006,BA03050040,,,,,,,94.05,94,7701.0311539,TASWIL5000020230907KABKOTA,Puncak,,0.626897577633,6.569179487,4326,4,,,Puncak,Papua Tengah,,0,Puncak Jaya,Papua,2014-07,-0.04212433780316434,7,-0.04212433780316434,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000003,BA03050040,,,,,,,94.04,94,18298.9475457,TASWIL5000020230907KABKOTA,Mimika,,1.4911492384,12.6656809115,4326,4,,,Mimika,Papua Tengah,,0,,Papua,2014-08,0.06354419985405763,8,0.06354419985405763,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000004,BA03050040,,,,,,,94.01,94,11806.0881539,TASWIL5000020230907KABKOTA,Nabire,,0.960785354303,11.5437430004,4326,4,,,Nabire,Papua Tengah,,0,,Papua,2014-08,0.009264990266638197,8,0.009264990266638197,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000005,BA03050040,,,,,,,94.03,94,5306.87117012,TASWIL5000020230907KABKOTA,Paniai,,0.43205886587,4.22472545524,4326,4,,,Paniai,Papua Tengah,,0,,Papua,2014-08,0.013000962885748398,8,0.013000962885748398,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000007,BA03050040,,,,,,,94.02,94,5986.18984235,TASWIL5000020230907KABKOTA,Puncak Jaya,,0.487181441607,4.59742025922,4326,4,,,Puncak Jaya,Papua Tengah,,0,,Papua,2014-08,0.019300366094046995,8,0.019300366094046995,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000001,BA03050040,,,,,,,94.06,94,3792.92814779,TASWIL5000020230907KABKOTA,Dogiyai,,0.308897883462,4.13558797224,4326,4,,,Dogiyai,Papua Tengah,,0,Nabire,Papua,2014-08,-0.019084643801522676,8,-0.019084643801522676,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000000,BA03050040,,,,,,,94.08,94,2846.41168169,TASWIL5000020230907KABKOTA,Deiyai,,0.231850795745,3.39213920299,4326,4,,,Deiyai,Papua Tengah,,0,Paniai,Papua,2014-08,0.03619432723338263,8,0.03619432723338263,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000002,BA03050040,,,,,,,94.07,94,5334.44487314,TASWIL5000020230907KABKOTA,Intan Jaya,,0.434180629298,4.44111790841,4326,4,,,Intan Jaya,Papua Tengah,,0,Paniai,Papua,2014-08,0.018363826804380524,8,0.018363826804380524,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000006,BA03050040,,,,,,,94.05,94,7701.0311539,TASWIL5000020230907KABKOTA,Puncak,,0.626897577633,6.569179487,4326,4,,,Puncak,Papua Tengah,,0,Puncak Jaya,Papua,2014-08,-0.002337003628913679,8,-0.002337003628913679,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_00000000000000000003,BA03050040,,,,,,,94.04,94,18298.9475457,TASWIL5000020230907KABKOTA,Mimika,,1.4911492384,12.6656809115,4326,4,,,Mimika,Papua Tengah,,0,,Papua,2014-09,0.08417017223193016,9,0.08417017223193016,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_00000000000000000004,BA03050040,,,,,,,94.01,94,11806.0881539,TASWIL5000020230907KABKOTA,Nabire,,0.960785354303,11.5437430004,4326,4,,,Nabire,Papua Tengah,,0,,Papua,2014-09,0.02939587489656926,9,0.02939587489656926,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_00000000000000000005,BA03050040,,,,,,,94.03,94,5306.87117012,TASWIL5000020230907KABKOTA,Paniai,,0.43205886587,4.22472545524,4326,4,,,Paniai,Papua Tengah,,0,,Papua,2014-09,0.029837457784299835,9,0.029837457784299835,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_00000000000000000007,BA03050040,,,,,,,94.02,94,5986.18984235,TASWIL5000020230907KABKOTA,Puncak Jaya,,0.487181441607,4.59742025922,4326,4,,,Puncak Jaya,Papua Tengah,,0,,Papua,2014-09,0.01859166174109885,9,0.01859166174109885,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_00000000000000000001,BA03050040,,,,,,,94.06,94,3792.92814779,TASWIL5000020230907KABKOTA,Dogiyai,,0.308897883462,4.13558797224,4326,4,,,Dogiyai,Papua Tengah,,0,Nabire,Papua,2014-09,0.025342833216198565,9,0.025342833216198565,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_00000000000000000000,BA03050040,,,,,,,94.08,94,2846.41168169,TASWIL5000020230907KABKOTA,Deiyai,,0.231850795745,3.39213920299,4326,4,,,Deiyai,Papua Tengah,,0,Paniai,Papua,2014-09,0.058573577365399164,9,0.058573577365399164,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_00000000000000000002,BA03050040,,,,,,,94.07,94,5334.44487314,TASWIL5000020230907KABKOTA,Intan Jaya,,0.434180629298,4.44111790841,4326,4,,,Intan Jaya,Papua Tengah,,0,Paniai,Papua,2014-09,-3.7532023133413E-4,9,-3.7532023133413E-4,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_00000000000000000006,BA03050040,,,,,,,94.05,94,7701.0311539,TASWIL5000020230907KABKOTA,Puncak,,0.626897577633,6.569179487,4326,4,,,Puncak,Papua Tengah,,0,Puncak Jaya,Papua,2014-09,-0.01717025455981557,9,-0.01717025455981557,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_00000000000000000003,BA03050040,,,,,,,94.04,94,18298.9475457,TASWIL5000020230907KABKOTA,Mimika,,1.4911492384,12.6656809115,4326,4,,,Mimika,Papua Tengah,,0,,Papua,2014-10,-0.017842861063620836,10,-0.017842861063620836,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_00000000000000000004,BA03050040,,,,,,,94.01,94,11806.0881539,TASWIL5000020230907KABKOTA,Nabire,,0.960785354303,11.5437430004,4326,4,,,Nabire,Papua Tengah,,0,,Papua,2014-10,-0.0637036333317433,10,-0.0637036333317433,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_00000000000000000005,BA03050040,,,,,,,94.03,94,5306.87117012,TASWIL5000020230907KABKOTA,Paniai,,0.43205886587,4.22472545524,4326,4,,,Paniai,Papua Tengah,,0,,Papua,2014-10,-0.09512087256272475,10,-0.09512087256272475,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_00000000000000000007,BA03050040,,,,,,,94.02,94,5986.18984235,TASWIL5000020230907KABKOTA,Puncak Jaya,,0.487181441607,4.59742025922,4326,4,,,Puncak Jaya,Papua Tengah,,0,,Papua,2014-10,-0.0587541580911047,10,-0.0587541580911047,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
