system:index,FCODE,KDBBPS,KDCBPS,KDCPUM,KDEBPS,KDEPUM,KDPBPS,KDPKAB,KDPPUM,LUASWH,METADATA,NAMOBJ,REMARK,SHAPE_Area,SHAPE_Leng,SRS_ID,TIPADM,WADMKC,WADMKD,WADMKK,WADMPR,WIADKC,WIADKD,WIADKK,WIADPR,date,mean,month,ntl_mean,source,unit,year,.geo
2_00000000000000000001,BA03050040,,,,,,,92.08,92,17849.2155958,TASWIL5000020230907KABKOTA,Kaimana,,1.45289051654,23.5828719596,4326,4,,,Kaimana,Papua Barat,,0,Fak Fak,Papua,2014-03,0.047086215160814106,3,0.047086215160814106,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000003,BA03050040,,,,,,,92.12,92,3298.81121939,TASWIL5000020230907KABKOTA,Pegunungan Arfak,,0.268064769726,4.15437602212,4326,4,,,Pegunungan Arfak,Papua Barat,,0,Manokwari,Papua,2014-03,0.08192327336796618,3,0.08192327336796618,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000004,BA03050040,,,,,,,92.06,92,19943.2853202,TASWIL5000020230907KABKOTA,Teluk Bintuni,,1.62137814849,23.6301008579,4326,4,,,Teluk Bintuni,Papua Barat,,0,Manokwari,Papua,2014-03,0.07944941220287188,3,0.07944941220287188,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000005,BA03050040,,,,,,,92.07,92,4847.34036167,TASWIL5000020230907KABKOTA,Teluk Wondama,,0.394288022824,11.7215241685,4326,4,,,Teluk Wondama,Papua Barat,,0,Manokwari,Papua,2014-03,0.002870210693915291,3,0.002870210693915291,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000006,BA03050040,,,,,,,92.11,92,1837.09484763,TASWIL5000020230907KABKOTA,Manokwari Selatan,,0.149300760219,3.35946489988,4326,4,,,Manokwari Selatan,Papua Barat,,0,Manokwari,Papua,2014-03,0.06573213941244858,3,0.06573213941244858,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000000,BA03050040,,,,,,,92.03,92,9736.54527686,TASWIL5000020230907KABKOTA,Fak Fak,,0.792155739116,15.138504018,4326,4,,,Fak Fak,Papua Barat,,0,,Papua,2014-04,0.08068875251795916,4,0.08068875251795916,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000002,BA03050040,,,,,,,92.02,92,2763.01789582,TASWIL5000020230907KABKOTA,Manokwari,,0.22449969558,3.55287341476,4326,4,,,Manokwari,Papua Barat,,0,,Papua,2014-04,0.2729663302824102,4,0.2729663302824102,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000001,BA03050040,,,,,,,92.08,92,17849.2155958,TASWIL5000020230907KABKOTA,Kaimana,,1.45289051654,23.5828719596,4326,4,,,Kaimana,Papua Barat,,0,Fak Fak,Papua,2014-04,0.1576906223101946,4,0.1576906223101946,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000003,BA03050040,,,,,,,92.12,92,3298.81121939,TASWIL5000020230907KABKOTA,Pegunungan Arfak,,0.268064769726,4.15437602212,4326,4,,,Pegunungan Arfak,Papua Barat,,0,Manokwari,Papua,2014-04,0.3322313982670004,4,0.3322313982670004,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000004,BA03050040,,,,,,,92.06,92,19943.2853202,TASWIL5000020230907KABKOTA,Teluk Bintuni,,1.62137814849,23.6301008579,4326,4,,,Teluk Bintuni,Papua Barat,,0,Manokwari,Papua,2014-04,0.15163054792874459,4,0.15163054792874459,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
