system:index,FCODE,KDBBPS,KDCBPS,KDCPUM,KDEBPS,KDEPUM,KDPBPS,KDPKAB,KDPPUM,LUASWH,METADATA,NAMOBJ,REMARK,SHAPE_Area,SHAPE_Leng,SRS_ID,TIPADM,WADMKC,WADMKD,WADMKK,WADMPR,WIADKC,WIADKD,WIADKK,WIADPR,ch4_mean_ppb,mean,source,unit,year,.geo
6_00000000000000000001,BA03050040,,,,,,,63.04,63,2426.17904403,TASWIL5000020230907KABKOTA,Barito Kuala,,0.197385596994,3.14820999039,4326,4,,,Barito Kuala,Kalimantan Selatan,,0,,,1859.4828788847092,1859.4828788847092,Sentinel-5P TROPOMI CH4,ppb,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000002,BA03050040,,,,,,,63.06,63,1697.22428862,TASWIL5000020230907KABKOTA,Hulu Sungai Selatan,,0.138036632845,2.2746118234,4326,4,,,Hulu Sungai Selatan,Kalimantan Selatan,,0,,,1880.4180070026969,1880.4180070026969,Sentinel-5P TROPOMI CH4,ppb,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000003,BA03050040,,,,,,,63.07,63,1573.53817917,TASWIL5000020230907KABKOTA,Hulu Sungai Tengah,,0.127964873594,2.31760045166,4326,4,,,Hulu Sungai Tengah,Kalimantan Selatan,,0,,,1896.2215042566074,1896.2215042566074,Sentinel-5P TROPOMI CH4,ppb,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000004,BA03050040,,,,,,,63.08,63,907.490768485,TASWIL5000020230907KABKOTA,Hulu Sungai Utara,,0.0737904677161,1.51826473554,4326,4,,,Hulu Sungai Utara,Kalimantan Selatan,,0,,,1896.8771205223807,1896.8771205223807,Sentinel-5P TROPOMI CH4,ppb,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000007,BA03050040,,,,,,,63.02,63,9354.93250433,TASWIL5000020230907KABKOTA,Kotabaru,,0.761031809985,11.9385672048,4326,4,,,Kotabaru,Kalimantan Selatan,,0,,,1854.4228629138966,1854.4228629138966,Sentinel-5P TROPOMI CH4,ppb,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000008,BA03050040,,,,,,,63.09,63,3473.06892326,TASWIL5000020230907KABKOTA,Tabalong,,0.28230308084,3.9859997747,4326,4,,,Tabalong,Kalimantan Selatan,,0,,,1879.898599387962,1879.898599387962,Sentinel-5P TROPOMI CH4,ppb,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0000000000000000000a,BA03050040,,,,,,,63.01,63,3841.37235643,TASWIL5000020230907KABKOTA,Tanah Laut,,0.312753591958,3.32146775364,4326,4,,,Tanah Laut,Kalimantan Selatan,,0,,,1868.6649770268352,1868.6649770268352,Sentinel-5P TROPOMI CH4,ppb,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0000000000000000000b,BA03050040,,,,,,,63.05,63,2155.93899497,TASWIL5000020230907KABKOTA,Tapin,,0.175372730702,2.73330795239,4326,4,,,Tapin,Kalimantan Selatan,,0,,,1879.4024035075183,1879.4024035075183,Sentinel-5P TROPOMI CH4,ppb,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0000000000000000000c,BA03050040,,,,,,,63.03,63,4588.43771449,TASWIL5000020230907KABKOTA,Banjar,,0.373380607941,5.01422308519,4326,4,,,Banjar,Kalimantan Selatan,,0,,,1864.9698896367179,1864.9698896367179,Sentinel-5P TROPOMI CH4,ppb,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000006,BA03050040,,,,,,,63.71,63,98.3720535788,TASWIL5000020230907KABKOTA,Kota Banjarmasin,,0.00800498247531,0.509215199313,4326,5,,,Kota Banjarmasin,Kalimantan Selatan,,0,,,1860.4381363866084,1860.4381363866084,Sentinel-5P TROPOMI CH4,ppb,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000005,BA03050040,,,,,,,63.72,63,305.152648561,TASWIL5000020230907KABKOTA,Kota Banjarbaru,,0.024835316863,0.951653262095,4326,5,,,Kota Banjarbaru,Kalimantan Selatan,,0,Banjar,,1862.716269329275,1862.716269329275,Sentinel-5P TROPOMI CH4,ppb,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000000,BA03050040,,,,,,,63.11,63,1828.51323069,TASWIL5000020230907KABKOTA,Balangan,,0.148668701274,1.96836455225,4326,4,,,Balangan,Kalimantan Selatan,,0,Hulu Sungai Utara,,1883.6620110899753,1883.6620110899753,Sentinel-5P TROPOMI CH4,ppb,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000009,BA03050040,,,,,,,63.10,63,4884.83273223,TASWIL5000020230907KABKOTA,Tanah Bumbu,,0.39754733494,4.00796147911,4326,4,,,Tanah Bumbu,Kalimantan Selatan,,0,Kotabaru,,1865.39845714385,1865.39845714385,Sentinel-5P TROPOMI CH4,ppb,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
